id,tier,system,question,reference,answer,judge_correctness,my_correctness
t3_objective_evolution,3,wiki,"How did the training objective evolve from BERT to GPT-3 to InstructGPT, and why?",BERT: masked bidirectional LM fine-tuned per task. GPT-3: autoregressive LM enabling few-shot in-context learning without fine-tuning. InstructGPT: adds RLHF to align to human intent. The arc goes fine-tuning -> prompting -> alignment.,"The training objective evolved from BERT's Masked Language Model (MLM) and Next Sentence Prediction (NSP) to GPT-3's autoregressive language modeling, and then to InstructGPT's three-stage fine-tuning process involving Supervised Fine-Tuning (SFT), Reward Modeling (RM), and Reinforcement Learning with Human Feedback (PPO). This evolution reflects a shift from pre-training on bidirectional language understanding to autoregressive generation, and finally to aligning models with human preferences through reinforcement learning.",1,1
t3_adaptation_contrast,3,wiki,Contrast how BERT and GPT-3 adapt to a new downstream task.,BERT updates weights by gradient fine-tuning on labeled task data. GPT-3 changes no weights; it conditions on a few in-prompt examples (in-context learning).,"BERT adapts to a new downstream task using either a fine-tuning approach, where task-specific layers are added and all parameters are jointly trained, or a feature-based approach, where pre-trained representations are used as fixed features. In contrast, GPT-3 adapts through a three-stage fine-tuning process: Supervised Fine-Tuning (SFT), Reward Modeling (RM), and Reinforcement Learning with Human Feedback (PPO), which progressively align the model with human preferences.",1,1
t1_transformer_dims,1,wiki,What are d_model and the number of attention heads h in the Transformer base model?,d_model = 512 and h = 8 attention heads.,The provided pages do not specify the values of d_model and the number of attention heads h in the Transformer base model.,2,0
t2_bert_why_masked,2,wiki,Why does BERT use a masked LM instead of a standard left-to-right language model?,"To get deep bidirectional context; a left-to-right LM only sees the left, and naive bidirectional conditioning would let a token see itself, so masking hides the target.","BERT uses a masked LM instead of a standard left-to-right language model because the masked LM task forces the model to understand context from both directions, enabling it to capture richer contextual relationships. This bidirectional training is crucial for developing the model's ability to handle complex linguistic patterns. [[pre-training-tasks]]",2,2
t3_finetune_to_prompt,3,wiki,"Why did the field move from fine-tuning toward prompting, and what limit of scaling did InstructGPT identify?","Fine-tuning needs a labeled dataset and a model per task; prompting generalizes without that. InstructGPT showed scaling alone does not make models follow intent or stay helpful and truthful, motivating alignment.",The provided pages do not address why the field moved from fine-tuning toward prompting or the specific limits of scaling identified by InstructGPT.,2,0
t3_human_data_role,3,rag,How does the role of human-labeled data change from BERT to GPT-3 to InstructGPT?,BERT needs labeled data per task. GPT-3 minimizes it via few-shot prompting. InstructGPT reintroduces human data as demonstrations and preference comparisons for alignment.,"The role of human-labeled data changes from BERT to GPT-3 to InstructGPT as follows: BERT does not use human-labeled data in its pre-training, relying instead on masked language modeling and next sentence prediction tasks. GPT-3 is trained on a vast amount of unlabeled text data, with no explicit use of human-labeled data in its pre-training or fine-tuning. In contrast, InstructGPT is fine-tuned on human-labeled data, specifically human preferences and instructions, which significantly improves its behavior and alignment with human preferences.",2,2
t3_objective_evolution,3,rag,"How did the training objective evolve from BERT to GPT-3 to InstructGPT, and why?",BERT: masked bidirectional LM fine-tuned per task. GPT-3: autoregressive LM enabling few-shot in-context learning without fine-tuning. InstructGPT: adds RLHF to align to human intent. The arc goes fine-tuning -> prompting -> alignment.,"The training objective evolved from BERT, which used masked language modeling (MLM) and next sentence prediction (NSP), to GPT-3, which used a left-to-right language model (LTR) without NSP. InstructGPT further refined this by fine-tuning GPT-3 on human data to improve instruction following, truthfulness, and reliability, aligning the model more closely with human preferences. This evolution aimed to enhance performance on downstream tasks and improve safety and reliability.",1,1
t2_gpt3_incontext,2,rag,What is in-context learning as described in the GPT-3 paper?,"The model performs a task from instructions and a few examples in the prompt at inference time, with no gradient updates or parameter changes.","In-context learning, as described in the GPT-3 paper, refers to the setting where a model is given a few demonstrations of a task at inference time as conditioning, without allowing any weight updates. This method involves providing the model with examples of context and completion, and then expecting it to provide the completion for a new context. It is also referred to as ""meta-learning"" to capture the inner-loop/outer-loop structure, and specifically termed ""zero-shot,"" ""one-shot,"" or ""few-shot"" depending on the number of demonstrations provided.",2,2
t3_human_data_role,3,wiki,How does the role of human-labeled data change from BERT to GPT-3 to InstructGPT?,BERT needs labeled data per task. GPT-3 minimizes it via few-shot prompting. InstructGPT reintroduces human data as demonstrations and preference comparisons for alignment.,"BERT does not use human-labeled data for pre-training, relying instead on masked language modeling and next sentence prediction tasks. GPT-3 is trained on broad internet data without explicit human-labeled data, focusing on unsupervised learning. InstructGPT incorporates human-labeled data through labeler-written prompts and API-submitted prompts, which are used for supervised fine-tuning, reward modeling, and reinforcement learning with human feedback.",2,2
t2_instructgpt_small_beats_big,2,wiki,Why can a 1.3B-parameter InstructGPT model be preferred to the 175B GPT-3?,"Human-feedback alignment makes outputs more helpful and closer to user intent, so raters preferred the smaller aligned model despite far fewer parameters.",The provided pages do not address the comparison between a 1.3B-parameter InstructGPT model and the 175B GPT-3 model.,2,0
